FRM 	 ID 	 CLS 	 CNF 	 LANE 	 BBx
2326 	 662 	 LIGHT 	 99 	 N2 	 1872
2336 	 647 	 LIGHT 	 97 	 S2 	 3245
2343 	 653 	 LIGHT 	 99 	 S1 	 2009
2349 	 651 	 LIGHT 	 98 	 S3 	 2440
2354 	 668 	 LIGHT 	 98 	 N2 	 2058
2359 	 673 	 LIGHT 	 99 	 N3 	 2150
2389 	 677 	 LIGHT 	 99 	 N1 	 1598
2391 	 681 	 LIGHT 	 99 	 N2 	 1575
2417 	 686 	 LIGHT 	 99 	 N2 	 1786
2442 	 693 	 LIGHT 	 98 	 N2 	 1620
2454 	 694 	 LIGHT 	 99 	 N1 	 1530
2473 	 669 	 LIGHT 	 99 	 S3 	 1677
2493 	 701 	 LIGHT 	 99 	 N1 	 2204
2510 	 709 	 LIGHT 	 98 	 N3 	 2115
2534 	 697 	 LIGHT 	 99 	 S2 	 1833
2551 	 703 	 LIGHT 	 99 	 S1 	 1755
2575 	 728 	 LIGHT 	 99 	 N3 	 1886
2613 	 712 	 LIGHT 	 99 	 S2 	 2496
2658 	 729 	 LIGHT 	 98 	 S1 	 1880
2666 	 730 	 LIGHT 	 99 	 S2 	 2679
2693 	 739 	 LIGHT 	 99 	 S1 	 2016
2694 	 748 	 HEAVY 	 99 	 N2 	 5625
2716 	 762 	 LIGHT 	 99 	 S1 	 1548
2719 	 758 	 HEAVY 	 98 	 N1 	 3540
2746 	 768 	 LIGHT 	 99 	 N3 	 2142
2748 	 760 	 LIGHT 	 99 	 S1 	 1677
2758 	 765 	 HEAVY 	 99 	 N1 	 3519
2765 	 772 	 LIGHT 	 97 	 N2 	 1872
2774 	 774 	 LIGHT 	 98 	 N3 	 2024
2774 	 754 	 LIGHT 	 99 	 S2 	 1833
2816 	 771 	 LIGHT 	 99 	 S2 	 2632
2838 	 782 	 LIGHT 	 99 	 N2 	 1620
2838 	 777 	 LIGHT 	 99 	 S1 	 1800
2848 	 766 	 LIGHT 	 99 	 S2 	 2009
2882 	 783 	 LIGHT 	 99 	 S2 	 2475

-------------
-------------
SUMMARY
-------------
Total Vehicles: 202
-------------
Northbound
-------------
Northbound Total: 119
N1 Total: 37, Light: 31, Heavy: 6, Bus: 0, Motorcycle: 0
N2 Total: 49, Light: 45, Heavy: 4, Bus: 0, Motorcycle: 0
N3 Total: 33, Light: 32, Heavy: 1, Bus: 0, Motorcycle: 0
-------------
Southbound
-------------
Southbound Total: 83
S1 Total: 34, Light: 34, Heavy: 0, Bus: 0, Motorcycle: 0
S2 Total: 35, Light: 33, Heavy: 2, Bus: 0, Motorcycle: 0
S3 Total: 14, Light: 13, Heavy: 1, Bus: 0, Motorcycle: 0
-------------
DC1-NMS-0.5.txt
Execution time: 1:05:30.395112
Confidence: 98.52%
Count: 104.12%
Class: 104.22%
Light: 103.30%
Heavy: 116.67%
Bus: 100.00%
Moto: 100.00%
Lane Accuracy: 104.52%
