FRM 	 ID 	 CLS 	 CNF 	 LANE 	 BBx
2195 	 3448 	 LIGHT 	 98 	 S1 	 2209
2214 	 3589 	 LIGHT 	 88 	 S3 	 3132
2214 	 3504 	 LIGHT 	 34 	 S3 	 2632
2223 	 3460 	 LIGHT 	 99 	 S2 	 1548
2226 	 3581 	 LIGHT 	 67 	 N1 	 2346
2226 	 3644 	 LIGHT 	 52 	 N1 	 2538
2236 	 3479 	 LIGHT 	 98 	 S3 	 1872
2255 	 3625 	 HEAVY 	 99 	 N1 	 7134
2268 	 3464 	 LIGHT 	 98 	 S1 	 1935
2268 	 3415 	 LIGHT 	 98 	 S2 	 1833
2283 	 3701 	 LIGHT 	 5 	 N2 	 1419
2287 	 3731 	 LIGHT 	 96 	 N1 	 1728
2293 	 3687 	 LIGHT 	 51 	 N2 	 2107
2299 	 3608 	 LIGHT 	 98 	 S1 	 1665
2308 	 3498 	 LIGHT 	 6 	 S2 	 1886
2316 	 3725 	 BUS 	 9 	 N1 	 3596
2325 	 3745 	 LIGHT 	 98 	 N2 	 1702
2336 	 3556 	 LIGHT 	 25 	 S2 	 3245
2343 	 3633 	 LIGHT 	 11 	 S1 	 1890
2347 	 3530 	 LIGHT 	 99 	 S3 	 2430
2353 	 3800 	 LIGHT 	 96 	 N2 	 1968
2359 	 3809 	 LIGHT 	 7 	 N3 	 1760
2388 	 3885 	 LIGHT 	 96 	 N1 	 1530
2390 	 3864 	 LIGHT 	 6 	 N2 	 1470
2416 	 3887 	 LIGHT 	 98 	 N2 	 1672
2440 	 3914 	 LIGHT 	 91 	 N2 	 1692
2453 	 3919 	 LIGHT 	 18 	 N1 	 1452
2473 	 3937 	 LIGHT 	 93 	 S3 	 1634
2473 	 3717 	 LIGHT 	 17 	 S3 	 1596
2492 	 3955 	 LIGHT 	 92 	 N1 	 2090
2510 	 4056 	 LIGHT 	 88 	 N3 	 1980
2510 	 4000 	 LIGHT 	 29 	 N3 	 1935
2534 	 3853 	 LIGHT 	 99 	 S2 	 1911
2551 	 3923 	 LIGHT 	 96 	 S1 	 1558
2574 	 4131 	 LIGHT 	 6 	 N3 	 1794
2612 	 3949 	 LIGHT 	 8 	 S2 	 2700
2658 	 4114 	 LIGHT 	 99 	 S1 	 1596
2666 	 3916 	 LIGHT 	 84 	 S2 	 2496
2666 	 4319 	 LIGHT 	 32 	 S2 	 2450
2692 	 4169 	 LIGHT 	 97 	 S1 	 1980
2693 	 4304 	 HEAVY 	 59 	 N2 	 3969
2695 	 4361 	 HEAVY 	 98 	 N2 	 4340
2717 	 4274 	 LIGHT 	 98 	 S1 	 1476
2720 	 4334 	 HEAVY 	 99 	 N1 	 3538
2745 	 4385 	 LIGHT 	 6 	 N3 	 2016
2748 	 4288 	 LIGHT 	 97 	 S1 	 1935
2758 	 4388 	 LIGHT 	 81 	 N1 	 3050
2764 	 4402 	 LIGHT 	 98 	 N2 	 1645
2773 	 4450 	 LIGHT 	 88 	 N3 	 1845
2774 	 4220 	 LIGHT 	 98 	 S2 	 1794
2815 	 4171 	 LIGHT 	 99 	 S2 	 2544
2837 	 4523 	 LIGHT 	 7 	 N2 	 1692
2838 	 4378 	 LIGHT 	 99 	 S1 	 1638
2848 	 4373 	 LIGHT 	 97 	 S2 	 2107
2882 	 4215 	 LIGHT 	 98 	 S2 	 2340

-------------
-------------
SUMMARY
-------------
Total Vehicles: 234
-------------
Northbound
-------------
Northbound Total: 140
N1 Total: 48, Light: 42, Heavy: 5, Bus: 1, Motorcycle: 0
N2 Total: 55, Light: 50, Heavy: 5, Bus: 0, Motorcycle: 0
N3 Total: 37, Light: 35, Heavy: 1, Bus: 1, Motorcycle: 0
-------------
Southbound
-------------
Southbound Total: 94
S1 Total: 39, Light: 38, Heavy: 1, Bus: 0, Motorcycle: 0
S2 Total: 39, Light: 37, Heavy: 2, Bus: 0, Motorcycle: 0
S3 Total: 16, Light: 15, Heavy: 1, Bus: 0, Motorcycle: 0
-------------
DC1-iou0.5-final.txt
Execution time: 1:38:41.606693
Confidence: 75.16%
Count: 120.62%
Class: 118.58%
Light: 119.23%
Heavy: 125.00%
Bus: 0.00%
Moto: 100.00%
Lane Accuracy: 120.95%
