FRM 	 ID 	 CLS 	 CNF 	 LANE 	 BBx
2348 	 693 	 LIGHT 	 90 	 S3 	 2408
2354 	 728 	 LIGHT 	 80 	 N2 	 1911
2358 	 733 	 LIGHT 	 87 	 N3 	 1760
2388 	 734 	 LIGHT 	 83 	 N1 	 1692
2390 	 743 	 LIGHT 	 82 	 N2 	 1496
2416 	 750 	 LIGHT 	 89 	 N2 	 1824
2440 	 756 	 LIGHT 	 87 	 N2 	 1645
2453 	 755 	 LIGHT 	 86 	 N1 	 1645
2473 	 722 	 LIGHT 	 87 	 S3 	 1677
2492 	 765 	 LIGHT 	 83 	 N1 	 2052
2510 	 770 	 LIGHT 	 70 	 N3 	 1845
2534 	 757 	 LIGHT 	 90 	 S2 	 1824
2551 	 762 	 LIGHT 	 90 	 S1 	 1591
2574 	 785 	 LIGHT 	 87 	 N3 	 1716
2612 	 761 	 LIGHT 	 58 	 S2 	 2650
2658 	 784 	 LIGHT 	 82 	 S1 	 1554
2666 	 772 	 LIGHT 	 68 	 S2 	 2597
2692 	 787 	 LIGHT 	 75 	 S1 	 1935
2694 	 814 	 HEAVY 	 93 	 N2 	 6160
2716 	 803 	 LIGHT 	 89 	 S1 	 1554
2720 	 820 	 LIGHT 	 93 	 N1 	 3481
2746 	 832 	 LIGHT 	 84 	 N3 	 1932
2749 	 805 	 LIGHT 	 63 	 S1 	 1935
2758 	 834 	 LIGHT 	 86 	 N1 	 2784
2764 	 838 	 LIGHT 	 88 	 N2 	 1598
2773 	 846 	 LIGHT 	 62 	 N3 	 2068
2775 	 806 	 LIGHT 	 88 	 S2 	 1824
2815 	 811 	 LIGHT 	 82 	 S2 	 2491
2837 	 855 	 LIGHT 	 65 	 N2 	 1692
2838 	 839 	 LIGHT 	 89 	 S1 	 1599
2848 	 835 	 LIGHT 	 91 	 S2 	 2016
2882 	 848 	 LIGHT 	 87 	 S2 	 2340

-------------
-------------
SUMMARY
-------------
Total Vehicles: 197
-------------
Northbound
-------------
Northbound Total: 115
N1 Total: 36, Light: 33, Heavy: 3, Bus: 0, Motorcycle: 0
N2 Total: 48, Light: 44, Heavy: 4, Bus: 0, Motorcycle: 0
N3 Total: 31, Light: 30, Heavy: 1, Bus: 0, Motorcycle: 0
-------------
Southbound
-------------
Southbound Total: 82
S1 Total: 34, Light: 34, Heavy: 0, Bus: 0, Motorcycle: 0
S2 Total: 35, Light: 33, Heavy: 2, Bus: 0, Motorcycle: 0
S3 Total: 13, Light: 12, Heavy: 1, Bus: 0, Motorcycle: 0
-------------
DC1-yolov10x-960-iou0.5-con0.4.txt
Execution time: 0:03:52.888141
Confidence: 76.78%
Count: 101.55%
Class: 101.61%
Light: 102.20%
Heavy: 91.67%
Bus: 100.00%
Moto: 100.00%
Lane Accuracy: 101.35%
